name,ror_id,slug
Technische Universität Braunschweig,010nsgg66,tu-braunschweig
Technical University of Munich,02kkvpp62,tu-munich
TUM Klinikum,04jc43x05,tu-munich
Leibniz University Hannover,0304hq317,leibniz-hannover
Technische Informationsbibliothek (TIB),04aj4c181,leibniz-hannover
Technical University of Berlin,03v4gjf40,tu-berlin
Technische Universität Dresden,042aqky30,tu-dresden
SLUB Dresden,03wf51b65,tu-dresden
University Hospital Carl Gustav Carus,04za5zm41,tu-dresden
Karlsruhe Institute of Technology,04t3en479,kit
University of Stuttgart,04vnq7t77,uni-stuttgart
RWTH Aachen University,04xfq0f34,rwth-aachen
Universitätsklinikum Aachen,02gm5zw39,rwth-aachen
Technische Universität Darmstadt,05n911h24,tu-darmstadt
